FECHA,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,EDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-10,ATLÁNTICO,Barranquilla ,URBANA,VIERNES,1:55,42,FEMENINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SEPARADO,CASAS DE HABITACION,1
1-Jan-10,BOLÍVAR,María La Baja,URBANA,VIERNES,2:00,41,MASCULINO,A PIE,A PIE,CORTANTES,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-10,CAQUETÁ,Florencia ,URBANA,VIERNES,0:35,40,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,AGRICULTOR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-10,CAQUETÁ,Curillo,URBANA,VIERNES,8:00,26,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-10,CALDAS,Manizales ,URBANA,VIERNES,6:00,30,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-10,TOLIMA,Ibagué ,URBANA,VIERNES,5:14,27,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,COMERCIANTE,U-LIBRE,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-10,TOLIMA,Ibagué ,URBANA,VIERNES,2:13,17,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-10,RISARALDA,La Virginia,URBANA,VIERNES,5:30,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-10,RISARALDA,La Virginia,URBANA,VIERNES,5:30,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-10,SANTANDER,Bucaramanga ,URBANA,VIERNES,6:00,41,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,COMERCIANTE,U-LIBRE,FRENTE A RESIDENCIAS - VIA PUBLICA,1
