FECHA,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,EDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,3:20,27,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,5:20,26,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,2:00,35,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,0:20,31,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,SANTANDER,Bucaramanga ,URBANA,MIERCOLES,1:00,18,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,6:15,23,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,CUNDINAMARCA,Bogotá D.C. ,URBANA,MIERCOLES,2:50,23,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,SANTANDER,Barrancabermeja,URBANA,MIERCOLES,12:50,20,MASCULINO,MOTO,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,PUTUMAYO,Villagarzón,URBANA,MIERCOLES,5:30,31,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,U-LIBRE,PLAZAS DE MERCADO,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,7:15,30,FEMENINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,7:15,34,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,HUILA,La Plata,RURAL,MIERCOLES,6:30,39,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,6:01,35,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,6:40,41,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-14,VALLE,Cali ,URBANA,MIERCOLES,8:57,19,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-14,CAUCA,El Tambo,RURAL,MIERCOLES,4:00,52,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,AGRICULTOR,SOLTERO,CARRETERA,1
1-Jan-14,SANTANDER,Bucaramanga ,URBANA,MIERCOLES,15:05,19,MASCULINO,A PIE,PASAJERO MOTO,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,TOLIMA,Anzoátegui,RURAL,MIERCOLES,10:50,28,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,SOLTERO,FINCAS Y SIMILARES,1
1-Jan-14,CALDAS,Supía,URBANA,MIERCOLES,6:30,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,CAUCA,Puerto Tejada,URBANA,MIERCOLES,4:40,17,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,NARIÑO,Pasto ,URBANA,MIERCOLES,6:00,18,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-14,CALDAS,Aguadas,RURAL,MIERCOLES,7:30,39,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,CASADO,"BARES, CANTINAS Y SIMILARES",1
1-Jan-14,ANTIOQUIA,Medellín ,URBANA,MIERCOLES,6:25,24,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-14,QUINDÍO,Montenegro,URBANA,MIERCOLES,15:24,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-14,HUILA,Algeciras,URBANA,MIERCOLES,23:30,32,MASCULINO,A PIE,A PIE,ARMA BLANCA,EMPLEADO PARTICULAR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-14,VALLE,El Dovio,RURAL,MIERCOLES,8:20,33,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,U-LIBRE,FINCAS Y SIMILARES,1
