FECHA,DELITO,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,MODALIDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-13,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,META,Villavicencio ,URBANA,MARTES,5:00,AGRESION,FEMENINO,A PIE,A PIE,NO REPORTADO,INDEPENDIENTE,U-LIBRE,CASAS DE HABITACION,1
1-Jan-13,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,SANTANDER,Piedecuesta,URBANA,MARTES,12:30,NO REPORTA,FEMENINO,A PIE,A PIE,NO REPORTA,DESEMPLEADO,SOLTERO,CASAS DE HABITACION,1
1-Jan-13,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,ANTIOQUIA,Medellín ,URBANA,MARTES,11:08,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,SANTANDER,Girón,URBANA,MARTES,18:30,NO REPORTA,MASCULINO,A PIE,A PIE,NO REPORTA,DESEMPLEADO,SOLTERO,PARQUES,1
1-Jan-13,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,BOLÍVAR,Cartagena ,URBANA,MARTES,11:20,ENGAÑO,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SUCRE,Sincelejo ,URBANA,MARTES,2:00,AMENAZA/CHANTAJE,FEMENINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,HUILA,Pitalito,RURAL,MARTES,0:30,NO REPORTA,FEMENINO,A PIE,A PIE,NO REPORTA,DESEMPLEADO,SOLTERO,FINCAS Y SIMILARES,1
1-Jan-13,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,15:45,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CALDAS,Manizales ,URBANA,MARTES,3:00,ENGAÑO,MASCULINO,A PIE,A PIE,SIN EMPLEO DE ARMAS,ESTUDIANTE,SOLTERO,APARTAMENTO,1
1-Jan-13,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC,HUILA,Garzón,URBANA,MARTES,7:00,AGRESION,FEMENINO,A PIE,A PIE,LICOR ADULTERADO,AMA DE CASA,U-LIBRE,CASAS DE HABITACION,1
