FECHA,DELITO,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,MODALIDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-11,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SANTANDER,Barrancabermeja,URBANA,SABADO,7:00,AGRESION,FEMENINO,A PIE,A PIE,NO REPORTADO,AMA DE CASA,U-LIBRE,"HOTELES, RESIDENCIAS, Y SIMILARES.",1
1-Jan-11,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC,SANTANDER,Bucaramanga ,URBANA,SABADO,6:15,ENGAÑO,FEMENINO,A PIE,A PIE,NO REPORTADO,COMERCIANTE,CASADO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,GUAVIARE,San José del Guaviare ,RURAL,SABADO,8:00,NO REPORTADA,FEMENINO,NO REPORTA,NO REPORTA,NO REPORTADO,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,VALLE,Candelaria,RURAL,SABADO,15:00,INTIMIDACION FISICA,FEMENINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,GUAJIRA,Riohacha ,URBANA,SABADO,17:30,AGRESION,MASCULINO,MOTO,MOTO,ARMA DE FUEGO,AMA DE CASA,SOLTERO,SELVA,1
1-Jan-11,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CALDAS,Pensilvania,URBANA,SABADO,17:00,NO REPORTADA,MASCULINO,A PIE,A PIE,NO REPORTADO,AGRICULTOR,SOLTERO,CEMENTERIO,1
1-Jan-11,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,HUILA,Neiva ,URBANA,SABADO,14:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,EMPLEADO PARTICULAR,U-LIBRE,"HOTELES, RESIDENCIAS, Y SIMILARES.",1
1-Jan-11,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VALLE,Cali ,URBANA,SABADO,3:30,AGRESION,FEMENINO,A PIE,A PIE,ARMA BLANCA,ESTUDIANTE,SOLTERO,LOTE BALDIO,1
1-Jan-11,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,CUNDINAMARCA,Soacha,URBANA,SABADO,4:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,VALLE,Cali ,URBANA,SABADO,7:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SUCRE,Sincelejo ,URBANA,SABADO,9:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,VALLE,El Cerrito,URBANA,SABADO,16:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,AMA DE CASA,CASADO,DENTRO DE LA VIVIENDA,1
1-Jan-11,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,NARIÑO,San Andres de Tumaco,RURAL,SABADO,23:55,NO REPORTADA,FEMENINO,NO REPORTA,NO REPORTA,NO REPORTADO,ESTUDIANTE,SOLTERO,DENTRO DE LA VIVIENDA,1
1-Jan-11,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,VALLE,Tuluá,URBANA,SABADO,10:00,,FEMENINO,A PIE,A PIE,NO REPORTADO,INDEPENDIENTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,BOYACÁ,Sogamoso,URBANA,SABADO,1:00,NO REPORTADA,FEMENINO,A PIE,A PIE,CONTUNDENTES,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,CALDAS,Aranzazu,URBANA,SABADO,3:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,CASAS DE HABITACION,1
1-Jan-11,ARTÍCULO 210 A. ACOSO SEXUAL,ATLÁNTICO,Suan,URBANA,SABADO,21:00,NO REPORTADA,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,VALLE,Palmira,URBANA,SABADO,18:30,ENGAÑO,FEMENINO,A PIE,A PIE,NO REPORTADO,ESTUDIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-11,ARTÍCULO 218. PORNOGRAFÍA CON MENORES,CUNDINAMARCA,Bogotá D.C. ,URBANA,SABADO,15:00,,FEMENINO,NO REPORTA,NO REPORTA,NO REPORTADO,EMPLEADO POLICIAL,SEPARADO,OFICINAS,1
1-Jan-11,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,VALLE,Cali ,URBANA,SABADO,7:00,AGRESION,FEMENINO,A PIE,A PIE,CONTUNDENTES,INDEPENDIENTE,SOLTERO,CASAS DE HABITACION,1
