FECHA,DEPARTAMENTO,MUNICIPIO,ZONA,DÍA,HORA,EDAD,SEXO,MÓVIL AGRESOR,MÓVIL VÍCTIMA,ARMA O MEDIO UTILIZADO,CLASE DE EMPLEADO,ESTADO CIVIL,CLASE DE SITIO,VÍCTIMAS
1-Jan-13,META,Villavicencio ,URBANA,MARTES,4:56,22,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,NO REPORTA,VIAS PUBLICAS,1
1-Jan-13,VALLE,Cali ,URBANA,MARTES,0:20,31,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,U-LIBRE,VIAS PUBLICAS,1
1-Jan-13,VALLE,Cali ,URBANA,MARTES,3:43,25,MASCULINO,BICICLETA,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,VALLE,Cali ,URBANA,MARTES,4:16,35,FEMENINO,A PIE,A PIE,ARMA DE FUEGO,AMA DE CASA,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,VALLE,Cali ,URBANA,MARTES,4:16,35,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,SANTANDER,Bucaramanga ,URBANA,MARTES,3:00,21,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,FRENTE A RESIDENCIAS - VIA PUBLICA,1
1-Jan-13,SANTANDER,Bucaramanga ,URBANA,MARTES,5:00,34,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-13,CASANARE,Hato Corozal,URBANA,MARTES,1:30,30,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-13,VALLE,Toro,URBANA,MARTES,8:30,40,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,U-LIBRE,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,5:30,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,9:47,32,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,ANTIOQUIA,Betulia,RURAL,MARTES,1:55,21,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,PARQUES,1
1-Jan-13,ANTIOQUIA,El Bagre,URBANA,MARTES,0:05,51,MASCULINO,A PIE,A PIE,GRANADA DE MANO,EMPLEADO PARTICULAR,CASADO,BOMBA DE GASOLINA,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,5:58,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,DENTRO DE LA VIVIENDA,1
1-Jan-13,HUILA,Tarqui,RURAL,MARTES,3:15,44,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,U-LIBRE,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,2:08,33,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,COMERCIANTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,11:45,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,HUILA,Suaza,RURAL,MARTES,0:30,18,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,HUILA,Suaza,RURAL,MARTES,0:30,30,MASCULINO,A PIE,A PIE,ARMA BLANCA,AGRICULTOR,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,5:47,47,MASCULINO,A PIE,A PIE,ARMA BLANCA,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,CUNDINAMARCA,Bogotá D.C. ,URBANA,MARTES,7:05,20,MASCULINO,A PIE,A PIE,ARMA BLANCA,DESEMPLEADO,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,CAUCA,Mercaderes,RURAL,MARTES,0:00,25,MASCULINO,A PIE,A PIE,ARMA DE FUEGO,INDEPENDIENTE,SOLTERO,VIAS PUBLICAS,1
1-Jan-13,VALLE,Palmira,URBANA,MARTES,0:05,24,FEMENINO,A PIE,A PIE,ARMA DE FUEGO,EMPLEADO PARTICULAR,SOLTERO,VIAS PUBLICAS,1
